score,questions,mean_auc,median_auc,ci_low,ci_high,opposite_mean_auc
combo_path_erv36_hist,1057,0.715263699298704,0.8,0.6969626056824495,0.7339275202354674,0.284736300701296
combo_path_erv36_adj,1057,0.7151863615203256,0.8,0.6971386946058776,0.7330951489315373,0.2848136384796744
combo_path_erv24_hist,1057,0.7134293673319217,0.8,0.6951493632773198,0.7305382624904266,0.2865706326680783
path_score,1057,0.7108612650358156,0.8125,0.6917034725037918,0.728525818992056,0.2891387349641843
erv36_adj_late_min,1057,0.692498610923398,0.75,0.676278189807932,0.7106282568214924,0.30750138907660196
erv24_hist_late_min,1057,0.6903053715967624,0.75,0.6724761322851436,0.7080913805919717,0.30969462840323775
erv36_hist_late_min,1057,0.68784745686354,0.75,0.6702884961931794,0.706201879758526,0.3121525431364599
