layer,chunk_id,n_questions,mean_auc_pos,median_auc_pos,pos_ci_low,pos_ci_high,mean_auc_neg,median_auc_neg,neg_ci_low,neg_ci_high
36,0,1117,0.5216435925310142,0.5,0.5053642969049751,0.5378812428059855,0.4783564074689858,0.5,0.46231987652939427,0.4950261449140981
24,0,1117,0.5137544229867417,0.5,0.4965992427633542,0.5298911172571088,0.4862455770132584,0.5,0.4713979036108625,0.5035305026218188
36,4,665,0.4971464375223774,0.5,0.4926693967060508,0.5009592731829574,0.5028535624776227,0.5,0.4991084407447189,0.5070350877192983
24,4,665,0.4971464375223774,0.5,0.4926693967060508,0.5009592731829574,0.5028535624776227,0.5,0.4991084407447189,0.5070350877192983
24,1,1057,0.43741477827334024,0.42857142857142855,0.41979789874007,0.45512064318000933,0.5625852217266598,0.5714285714285714,0.5464588636227118,0.5792019848778365
36,1,1057,0.419093796458981,0.4166666666666667,0.40136562654863267,0.4359942081137091,0.5809062035410191,0.5833333333333333,0.5641453659278282,0.5974848797134749
24,2,904,0.4131997120382076,0.4,0.39292271342534063,0.4329612656271948,0.5868002879617924,0.6,0.5682481848749825,0.6069390561349909
24,3,792,0.41062209395542726,0.4,0.3891152534772327,0.43389401204505373,0.5893779060445727,0.6,0.567177422789402,0.6133589741662658
36,2,904,0.3844294318022194,0.3333333333333333,0.3638938327451187,0.4051729855843518,0.6155705681977806,0.6666666666666667,0.5961510680046355,0.6358463596537435
36,3,792,0.3827536275452942,0.375,0.36124252194564693,0.40528566919191916,0.6172463724547058,0.625,0.5955006162818662,0.6388102878988297
