layer,rel_bin,rel_bin_mid,questions,auc_mean,auc_neg_mean,best_auc
24,0,0.05,206,0.4832610957004161,0.5167389042995839,0.5167389042995839
24,1,0.15,206,0.5155079750346739,0.484492024965326,0.5155079750346739
24,2,0.25,206,0.4786436662043459,0.5213563337956542,0.5213563337956542
24,3,0.35,206,0.5008177300046233,0.49918226999537674,0.5008177300046233
24,4,0.45,206,0.5023809523809524,0.4976190476190476,0.5023809523809524
24,5,0.55,206,0.5058281322237633,0.4941718677762367,0.5058281322237633
24,6,0.65,206,0.5392625982431808,0.46073740175681926,0.5392625982431808
24,7,0.75,206,0.4913083680073972,0.5086916319926029,0.5086916319926029
24,8,0.85,206,0.517287910309755,0.4827120896902451,0.517287910309755
24,9,0.95,206,0.5466134997688396,0.4533865002311604,0.5466134997688396
36,0,0.05,206,0.501863730929265,0.49813626907073505,0.501863730929265
36,1,0.15,206,0.4706859685621822,0.5293140314378179,0.5293140314378179
36,2,0.25,206,0.4825676144244105,0.5174323855755895,0.5174323855755895
36,3,0.35,206,0.4966857374017568,0.5033142625982432,0.5033142625982432
36,4,0.45,206,0.4843937817845585,0.5156062182154415,0.5156062182154415
36,5,0.55,206,0.48484165510864535,0.5151583448913546,0.5151583448913546
36,6,0.65,206,0.47758321775312057,0.5224167822468793,0.5224167822468793
36,7,0.75,206,0.4564118122977347,0.5435881877022654,0.5435881877022654
36,8,0.85,206,0.4783489366620435,0.5216510633379566,0.5216510633379566
36,9,0.95,206,0.47439609338881183,0.525603906611188,0.525603906611188
