chunk,has_chunk,questions,mean_question_accuracy,median_question_accuracy,mean_response_length,median_response_length
2,False,83,0.6526319062463641,0.75,265.89001714483646,275.4166666666667
2,True,1034,0.4478994703938955,0.4444444444444444,888.262994767243,952.7285714285714
3,False,102,0.665367416448731,0.7735042735042735,293.3380441093893,298.6060606060606
3,True,1015,0.4427872158896212,0.42857142857142855,897.1550024760522,955.7142857142857
