layer,feature,n_questions,mean_auc_pos,median_auc_pos,ci_low_pos,ci_high_pos,mean_auc_neg,median_auc_neg
36,erv_adj_late_min,1057,0.692498610923398,0.75,0.676278189807932,0.7106282568214924,0.30750138907660196,0.25
36,erv_adj_all_min,1057,0.692498610923398,0.75,0.676278189807932,0.7106282568214924,0.30750138907660196,0.25
24,erv_hist_late_min,1057,0.6903053715967624,0.75,0.6724761322851436,0.7080913805919717,0.30969462840323775,0.25
24,erv_hist_all_min,1057,0.6903053715967624,0.75,0.6724761322851436,0.7080913805919717,0.30969462840323775,0.25
36,erv_hist_late_min,1057,0.68784745686354,0.75,0.6702884961931794,0.706201879758526,0.3121525431364599,0.25
36,erv_hist_all_min,1057,0.68784745686354,0.75,0.6702884961931794,0.706201879758526,0.3121525431364599,0.25
24,erv_adj_all_min,1057,0.6802769893829496,0.7333333333333333,0.6627440926701806,0.6984070529425899,0.3197230106170504,0.2666666666666667
24,erv_adj_late_min,1057,0.6802769893829496,0.7333333333333333,0.6627440926701806,0.6984070529425899,0.3197230106170504,0.2666666666666667
36,era_adj_late_min,904,0.6766505127124596,0.7333333333333333,0.6568057914998594,0.6947947888133869,0.32334948728754037,0.2666666666666667
36,era_adj_all_min,904,0.6766505127124596,0.7333333333333333,0.6568057914998594,0.6947947888133869,0.32334948728754037,0.2666666666666667
36,era_hist_all_min,904,0.6757802623261694,0.7238095238095238,0.655742928255373,0.6940092588934542,0.32421973767383055,0.2761904761904762
36,era_hist_late_min,904,0.6757802623261694,0.7238095238095238,0.655742928255373,0.6940092588934542,0.32421973767383055,0.2761904761904762
24,era_adj_all_min,904,0.6571167386571147,0.6875,0.636116219579646,0.676262828785644,0.34288326134288527,0.3125
24,era_adj_late_min,904,0.6571167386571147,0.6875,0.636116219579646,0.676262828785644,0.34288326134288527,0.3125
24,era_hist_all_min,904,0.6562504389661469,0.7,0.6347033082683664,0.6766196808277146,0.34374956103385307,0.30000000000000004
24,era_hist_late_min,904,0.6562504389661469,0.7,0.6347033082683664,0.6766196808277146,0.34374956103385307,0.30000000000000004
24,era_hist_all_abs_mean,904,0.5270752124596151,0.5,0.506849507041017,0.5489666846642787,0.47292478754038486,0.5
24,era_hist_late_abs_mean,904,0.5270752124596151,0.5,0.506849507041017,0.5489666846642787,0.47292478754038486,0.5
36,erv_hist_all_abs_mean,1057,0.5269189905542792,0.5333333333333333,0.5102875013139914,0.5451682096679731,0.4730810094457209,0.4666666666666667
24,erv_adj_all_abs_mean,1057,0.525483173401811,0.5333333333333333,0.5084388937694283,0.5424823737441996,0.474516826598189,0.4666666666666667
24,era_adj_late_abs_mean,904,0.5197835457929484,0.5,0.499898126931451,0.5403751240079365,0.48021645420705156,0.5
24,era_adj_all_abs_mean,904,0.5197835457929484,0.5,0.499898126931451,0.5403751240079365,0.48021645420705156,0.5
36,erv_adj_all_abs_mean,1057,0.5185505548797886,0.5,0.501312372355123,0.5364617966391855,0.48144944512021143,0.5
24,erv_hist_all_abs_mean,1057,0.5170803862383805,0.5,0.4995177276208496,0.5349405559685243,0.4829196137616194,0.5
24,erv_hist_late_mean,1057,0.5072573621059903,0.5,0.490313011518073,0.5248930176375186,0.4927426378940097,0.5
36,erv_hist_late_abs_mean,1057,0.5056075520716012,0.5,0.48872516556291395,0.5231760720292532,0.4943924479283988,0.5
36,era_hist_all_abs_mean,904,0.5017929572271387,0.5,0.4814994699483776,0.5218583357476472,0.4982070427728614,0.5
36,era_hist_late_abs_mean,904,0.5017929572271387,0.5,0.4814994699483776,0.5218583357476472,0.4982070427728614,0.5
24,erv_adj_late_abs_mean,1057,0.5014373188569026,0.5,0.48392889992641647,0.5197436731315044,0.4985626811430975,0.5
36,erv_adj_late_abs_mean,1057,0.49627671156762926,0.5,0.47933160543466835,0.5146730977159075,0.5037232884323708,0.5
24,erv_hist_late_abs_mean,1057,0.4938381312790016,0.5,0.4756131740775781,0.5115522227102761,0.5061618687209983,0.5
24,erv_adj_late_mean,1057,0.4921509663468036,0.5,0.4742515458170023,0.5091439580799206,0.5078490336531963,0.5
36,erv_hist_late_mean,1057,0.49138922677238667,0.5,0.47456748565872264,0.5084723489285339,0.5086107732276134,0.5
36,era_adj_all_mean,904,0.48442723697148476,0.5,0.4644548314808962,0.5042286322253828,0.5155727630285153,0.5
36,era_adj_late_mean,904,0.48442723697148476,0.5,0.4644548314808962,0.5042286322253828,0.5155727630285153,0.5
36,erv_adj_late_mean,1057,0.48366858884834285,0.5,0.4656211424967338,0.5004940748374405,0.5163314111516571,0.5
24,erv_hist_all_mean,1057,0.4829229925965971,0.5,0.4657209166779295,0.5009225345767445,0.5170770074034029,0.5
36,era_adj_late_abs_mean,904,0.48141592920353987,0.5,0.4627960058470291,0.50186294489219,0.5185840707964601,0.5
36,era_adj_all_abs_mean,904,0.48141592920353987,0.5,0.4627960058470291,0.50186294489219,0.5185840707964601,0.5
36,era_hist_all_mean,904,0.47955602963899424,0.5,0.45908024520648966,0.5010092435296389,0.5204439703610058,0.5
36,era_hist_late_mean,904,0.47955602963899424,0.5,0.45908024520648966,0.5010092435296389,0.5204439703610058,0.5
24,era_hist_late_mean,904,0.4704498964039894,0.5,0.4509324244539261,0.49089383384253404,0.5295501035960106,0.5
24,era_hist_all_mean,904,0.4704498964039894,0.5,0.4509324244539261,0.49089383384253404,0.5295501035960106,0.5
36,erv_hist_all_mean,1057,0.4688901277950474,0.4666666666666667,0.45116601717949867,0.48610762434112714,0.5311098722049528,0.5333333333333333
24,erv_adj_all_mean,1057,0.4668226562148038,0.4375,0.44843143217551923,0.48378069108438077,0.5331773437851962,0.5625
24,era_adj_late_mean,904,0.4623518489254109,0.5,0.44185509288523667,0.483484354149108,0.5376481510745892,0.5
24,era_adj_all_mean,904,0.4623518489254109,0.5,0.44185509288523667,0.483484354149108,0.5376481510745892,0.5
36,erv_adj_all_mean,1057,0.462149633584118,0.42857142857142855,0.44468479458560467,0.4805185925087474,0.537850366415882,0.5714285714285714
24,erv_hist_late_max,1057,0.37920496012974725,0.3333333333333333,0.3609526578291361,0.3955693336937424,0.6207950398702529,0.6666666666666667
24,erv_hist_all_max,1057,0.3790831343574957,0.3333333333333333,0.3602189907419921,0.3953502115526122,0.6209168656425043,0.6666666666666667
24,era_hist_late_max,904,0.3717850119398792,0.3333333333333333,0.3516428856756567,0.3923627956437,0.6282149880601208,0.6666666666666667
24,era_hist_all_max,904,0.3717850119398792,0.3333333333333333,0.3516428856756567,0.3923627956437,0.6282149880601208,0.6666666666666667
24,era_adj_late_max,904,0.370743125790139,0.3333333333333333,0.35146924164208454,0.3900457018629724,0.6292568742098609,0.6666666666666667
24,era_adj_all_max,904,0.370743125790139,0.3333333333333333,0.35146924164208454,0.3900457018629724,0.6292568742098609,0.6666666666666667
24,erv_adj_late_max,1057,0.3571822768842637,0.3125,0.3399358443708609,0.3735837707047499,0.6428177231157364,0.6875
24,erv_adj_all_max,1057,0.3559105209412683,0.3125,0.33923423398056796,0.37306344888948956,0.6440894790587317,0.6875
36,era_adj_all_max,904,0.3505432206068268,0.3333333333333333,0.33194935537821324,0.3695506687649249,0.6494567793931733,0.6666666666666667
36,era_adj_late_max,904,0.3505432206068268,0.3333333333333333,0.33194935537821324,0.3695506687649249,0.6494567793931733,0.6666666666666667
36,era_hist_all_max,904,0.3497346449641803,0.30625,0.33158995733249047,0.36907586103209716,0.6502653550358197,0.69375
36,era_hist_late_max,904,0.3497346449641803,0.30625,0.33158995733249047,0.36907586103209716,0.6502653550358197,0.69375
36,erv_hist_all_max,1057,0.3428577059963058,0.2857142857142857,0.32540416967007557,0.3592814438137286,0.6571422940036941,0.7142857142857143
36,erv_hist_late_max,1057,0.3395124716553288,0.2857142857142857,0.32204172673484405,0.35600733394903217,0.6604875283446713,0.7142857142857143
24,era_adj_all_std,904,0.3391878248349487,0.3,0.3210023298128248,0.3599573050551342,0.6608121751650513,0.7
24,era_adj_late_std,904,0.3391878248349487,0.3,0.3210023298128248,0.3599573050551342,0.6608121751650513,0.7
24,era_hist_all_std,904,0.33537430643348787,0.2857142857142857,0.31564028150899,0.355580329707473,0.6646256935665122,0.7142857142857143
24,era_hist_late_std,904,0.33537430643348787,0.2857142857142857,0.31564028150899,0.355580329707473,0.6646256935665122,0.7142857142857143
24,erv_adj_all_std,1057,0.33468815230286375,0.2857142857142857,0.316679323219354,0.35046630269105433,0.6653118476971362,0.7142857142857143
24,erv_hist_all_std,1057,0.33401200988121516,0.2857142857142857,0.3151781889632232,0.35135261099472903,0.6659879901187848,0.7142857142857143
24,erv_hist_late_std,1057,0.3206905775555255,0.2857142857142857,0.3019465210201078,0.33699328503476444,0.6793094224444745,0.7142857142857143
36,erv_adj_all_max,1057,0.3204528389722335,0.26666666666666666,0.30314870815876016,0.335903462930426,0.6795471610277665,0.7333333333333334
36,erv_adj_late_max,1057,0.3182288147046899,0.26666666666666666,0.3009042184754696,0.33431898642459196,0.6817711852953102,0.7333333333333334
24,erv_adj_late_std,1057,0.31794808983195927,0.26666666666666666,0.30071512573020376,0.33329258786848065,0.6820519101680407,0.7333333333333334
36,era_adj_all_std,904,0.31323724364377015,0.26666666666666666,0.2948677779094676,0.3334552506935665,0.6867627563562299,0.7333333333333334
36,era_adj_late_std,904,0.31323724364377015,0.26666666666666666,0.2948677779094676,0.3334552506935665,0.6867627563562299,0.7333333333333334
36,erv_hist_all_std,1057,0.3131285571623793,0.2857142857142857,0.29643094834512174,0.32969124487543355,0.6868714428376208,0.7142857142857143
36,era_hist_all_std,904,0.3102981458069954,0.2583333333333333,0.29203641882638004,0.33011322583052394,0.6897018541930046,0.7416666666666667
36,era_hist_late_std,904,0.3102981458069954,0.2583333333333333,0.29203641882638004,0.33011322583052394,0.6897018541930046,0.7416666666666667
36,erv_adj_all_std,1057,0.30783617530897567,0.26666666666666666,0.29082372242495236,0.32382177677914437,0.6921638246910243,0.7333333333333334
36,erv_hist_late_std,1057,0.30114345407036985,0.25,0.28230163892267723,0.31745177886275927,0.6988565459296301,0.75
36,erv_adj_late_std,1057,0.2987551808802992,0.25,0.2812517457314051,0.31538222836043905,0.7012448191197009,0.75
