layer,chunk_id,feature,n_questions,mean_auc_pos,median_auc_pos,ci_low_pos,ci_high_pos,mean_auc_neg,median_auc_neg
24,3,cos_min,782,0.5852900580522064,0.6,0.5622945210692973,0.606729362034669,0.41470994194779365,0.4
36,3,cos_min,782,0.5621417407542727,0.5590277777777778,0.5419846978646531,0.5828527597633255,0.4378582592457273,0.4409722222222222
24,2,cos_min,894,0.5562817371542204,0.5714285714285714,0.5351186037427648,0.5752608882852172,0.44371826284577964,0.4285714285714286
36,2,cos_std,894,0.5465517470970491,0.5625,0.5275994005450801,0.5656052696992294,0.4534482529029509,0.4375
24,3,aa_cos_mean,782,0.5455029838022165,0.5,0.5211877486501847,0.5676616416494134,0.4544970161977835,0.5
36,3,cos_std,782,0.5442244651483782,0.5333333333333333,0.5212559371574716,0.5661354052490561,0.45577553485162176,0.4666666666666667
36,2,lad_std,894,0.5411988210645928,0.5333333333333333,0.5217144721423245,0.5605792862913249,0.4588011789354072,0.4666666666666667
36,2,cos_min,894,0.5409196228827101,0.5333333333333333,0.5213228345495543,0.5618575501136324,0.4590803771172899,0.4666666666666667
36,2,ae_norm_b6,846,0.5369943525085369,0.5333333333333333,0.514913854061128,0.556847035184247,0.4630056474914631,0.4666666666666667
36,3,lad_std,782,0.534583688547883,0.5,0.5120819441907198,0.5591278721633581,0.46541631145211704,0.5
36,3,ae_norm_b6,723,0.5334044106347011,0.5,0.5086708647555379,0.5562938127071945,0.4665955893652989,0.5
36,2,aa_cos_mean,894,0.5307071393061326,0.5333333333333333,0.510408405019353,0.5500157742534001,0.4692928606938674,0.4666666666666667
24,2,aa_cos_mean,894,0.5297042008451405,0.5,0.5096216953410745,0.5503928859948155,0.4702957991548596,0.5
24,1,cos_min,1046,0.5290137788703754,0.5333333333333333,0.5121264492093842,0.5467184180475886,0.47098622112962457,0.4666666666666667
36,1,cos_std,1046,0.5272047330723239,0.5333333333333333,0.5100778950044007,0.5442261335700629,0.4727952669276761,0.4666666666666667
36,1,lad_std,1046,0.5263126346778353,0.5333333333333333,0.5089225109259765,0.5427715702676864,0.47368736532216454,0.4666666666666667
36,1,cos_min,1046,0.5255462988254574,0.5333333333333333,0.5094071472199461,0.5426372338690096,0.4744537011745425,0.4666666666666667
36,1,ae_norm_b6,962,0.5213990776490777,0.5,0.5030485482047983,0.5408722553253802,0.47860092235092233,0.5
36,0,cos_std,1117,0.5187497335550156,0.5,0.5032107819627404,0.5354540888647312,0.4812502664449844,0.5
36,3,aa_cos_mean,782,0.5185647809848577,0.5,0.4948345397941785,0.5423559414707911,0.48143521901514225,0.5
36,0,ae_norm_b6,1110,0.5150139425139426,0.5,0.4984320235413986,0.53228215492278,0.4849860574860575,0.5
24,0,ae_norm_b6,1110,0.5139288395538395,0.5,0.4979897173959674,0.5297754316816816,0.48607116044616044,0.5
36,0,lad_std,1117,0.5129076608261925,0.5,0.4972290387730741,0.5295544773415185,0.48709233917380734,0.5
24,0,cos_min,1117,0.5099994138210343,0.5,0.4938312124312571,0.5252713009442811,0.49000058617896575,0.5
36,0,lad_p90,1117,0.5094470733682909,0.5,0.493577909845675,0.525306165270495,0.49055292663170913,0.5
36,0,cos_min,1117,0.5050091657074647,0.5,0.48755540057338964,0.5225030841006949,0.4949908342925352,0.5
24,0,lad_p90,1117,0.5028594875730058,0.5,0.4857185355117875,0.5200888460800615,0.49714051242699414,0.5
24,0,lad_mean,1117,0.5027347913202881,0.5,0.4871788272157565,0.5187833722343009,0.4972652086797119,0.5
24,0,cos_std,1117,0.5016466300038369,0.5,0.48621319062539964,0.5167566717824105,0.49835336999616314,0.5
24,0,spike_rate_105,1117,0.499249690923818,0.5,0.48416052510977536,0.515486728375325,0.500750309076182,0.5
24,0,lad_std,1117,0.4978769663639851,0.5,0.4820751001833142,0.512929056358443,0.5021230336360148,0.5
24,1,lad_std,1046,0.49635079972078056,0.5,0.47933866069531705,0.5134773485158882,0.5036492002792194,0.5
24,1,ae_norm_b6,962,0.4962654275154275,0.5,0.4796557941870442,0.5157547159109659,0.5037345724845725,0.5
24,1,cos_std,1046,0.4952648411180916,0.5,0.4779306703162463,0.5122069950908981,0.5047351588819085,0.5
36,0,lad_max,1117,0.4949908342925352,0.5,0.4774969158993051,0.5124445994266105,0.5050091657074647,0.5
24,1,av_lad_p90,1046,0.4923015493641688,0.5,0.4756976311875929,0.5113335429375702,0.5076984506358312,0.5
24,1,lad_p90,1046,0.4907832938784182,0.5,0.47269493194027135,0.5089802659033658,0.5092167061215819,0.5
24,3,ae_norm_b6,723,0.4901596357768556,0.5,0.4658976939669367,0.5113002549452238,0.5098403642231444,0.5
