layer,rel_bin,rel_bin_mid,is_correct,rollouts,mean,se
24,0,0.05,False,594,93.15397343496855,0.06757838573695894
24,1,0.15,False,129,90.22125860926775,0.11550647797667998
24,2,0.25,False,271,89.84073303861993,0.08557863370258288
24,3,0.35,False,329,89.15088016684462,0.08775980476799888
24,4,0.45,False,153,89.7261049881409,0.10281252025917913
24,5,0.55,False,340,88.96169177705141,0.09104854319640224
24,6,0.65,False,367,89.32376989751491,0.07329042184364198
24,7,0.75,False,233,89.7103965134159,0.09253773962910894
24,8,0.85,False,167,89.90280210012506,0.10574700273647013
24,9,0.95,False,594,89.21771974101404,0.05103119685666846
24,0,0.05,True,1010,93.20857455520272,0.04932640856829145
24,1,0.15,True,188,90.13170461021774,0.11460429278166483
24,2,0.25,True,395,89.97642386252484,0.07517226478009885
24,3,0.35,True,536,89.13684771136076,0.06467189681410222
24,4,0.45,True,213,89.89785785679172,0.09316569571288283
24,5,0.55,True,574,89.06903185634583,0.06451642879475085
24,6,0.65,True,585,89.28329326383079,0.05604166561562934
24,7,0.75,True,346,89.63897452475057,0.07778427788622513
24,8,0.85,True,237,89.69093442024808,0.08419208064205917
24,9,0.95,True,1010,89.29019596171582,0.0410088034738432
36,0,0.05,False,594,91.63871919581815,0.1803769644223656
36,1,0.15,False,129,89.52128763789194,0.3635650457482091
36,2,0.25,False,271,90.11040752377608,0.24276231768371603
36,3,0.35,False,329,90.64562847508977,0.21977715355283767
36,4,0.45,False,153,90.04655695109614,0.34340855584173474
36,5,0.55,False,340,90.2268183332364,0.20232561960727302
36,6,0.65,False,367,89.3182515902266,0.2118614782565975
36,7,0.75,False,233,89.17006066524843,0.2975398227365225
36,8,0.85,False,167,88.75630577402674,0.2794632989583086
36,9,0.95,False,594,90.87850549321082,0.2452793352496178
36,0,0.05,True,1010,91.85359734569018,0.14293040742085614
36,1,0.15,True,188,89.34082322499033,0.3162283203454101
36,2,0.25,True,395,90.04601053254638,0.19600337042808613
36,3,0.35,True,536,90.64302167544857,0.16916909311738437
36,4,0.45,True,213,90.79912937773685,0.29802332245918867
36,5,0.55,True,574,90.00257377890651,0.15271725228173041
36,6,0.65,True,585,89.25991988897,0.16295551969937278
36,7,0.75,True,346,89.14902317649873,0.2341998908497702
36,8,0.85,True,237,89.4826929910158,0.2919201886212598
36,9,0.95,True,1010,90.51163325673612,0.19048563532496424
